CJD.FC_vs_CT.FC	AveExpr	F	P.Value	adj.P.Val
ANXA1	1.44808571428571	7.53797826086956	21.1652236424073	1.4785213365049e-08	4.2093134135371e-08
CTSS	1.34451	7.7641347826087	20.721360437071	1.92816050831513e-08	5.39345596731506e-08
DNA2	1.12510428571428	7.31164782608696	20.5779968336422	2.10229786167992e-08	5.79944237704807e-08
MSN	1.30369714285714	8.65892173913043	20.4219711664045	2.31064668892576e-08	6.33053887376919e-08
TGFBR1	1.03540428571429	8.6744152173913	20.3562146004165	2.40482452974432e-08	6.56607380134967e-08
WAS	1.62982857142857	6.08466739130435	20.2170139460842	2.61768690474199e-08	7.07482947227566e-08
GBP2	2.04561428571429	6.62975652173913	20.0940499622513	2.82212579005951e-08	7.57617661760942e-08
MAFF	1.97067	5.87636304347826	20.0235395400773	2.94682974052547e-08	7.88449428903134e-08
GFAP	2.50257142857143	14.8568260869565	19.94518330025	3.09219916257354e-08	8.21846953507919e-08
EMP1	2.58515428571429	7.50747608695652	19.9326841206799	3.11607331491225e-08	8.22725627699604e-08
C1QB	2.47005714285714	7.93714130434783	19.7884468474318	3.40595659511318e-08	8.90446168657042e-08
LAIR1	2.19244714285714	5.96773913043478	19.7368394218993	3.51641393575422e-08	9.12001960801787e-08
MYC	1.18867285714286	6.42915434782609	19.732830603701	3.5251495901096e-08	9.12001960801787e-08
CYP27A1	1.28617857142857	7.23697608695652	19.2337286615536	4.81183496816481e-08	1.22205332524821e-07
DOCK2	1.70884714285714	5.89195652173913	18.7965301167806	6.34312271961295e-08	1.59075177921328e-07
LILRB4	2.12482285714286	6.1231847826087	18.5197361385478	7.56957535968087e-08	1.88649853200769e-07
ITGAM	1.56877285714286	5.49289130434783	18.4400250506832	7.96702356261701e-08	1.96716631175729e-07
MAN2B1	1.1327	6.86322608695652	18.3625009481488	8.37454960046289e-08	2.04881947411936e-07
TLR9	1.17655285714286	5.96090869565217	18.2765314330839	8.85208488004967e-08	2.14595997092113e-07
CASP4	1.45809428571429	5.60834782608696	17.8601690707314	1.1602975495107e-07	2.75441554779989e-07
CD68	2.21679714285714	6.4148652173913	17.7759776765922	1.22606386319578e-07	2.88485614869595e-07
GSN	1.31799857142857	10.4308956521739	17.6852265892454	1.30134006812421e-07	3.02637225145166e-07
CD44	3.24468285714286	8.06651739130435	17.6215074741301	1.35707223113336e-07	3.13773926273608e-07
TUBB3	-1.80029714285714	5.94451304347826	17.5355359258024	1.43625418592728e-07	3.29227320556397e-07
VAV1	1.60267142857143	5.0167847826087	17.3064578727173	1.67175230449408e-07	3.78867377789027e-07
HOMER1	-1.09621714285714	9.5196652173913	17.1594333154751	1.84390251920251e-07	4.14360116674721e-07
OLFML3	1.10766857142857	6.18209347826087	16.9204725533989	2.16438344288252e-07	4.83661104554753e-07
HILPDA	1.43024142857143	7.77868695652174	16.8101532702297	2.33151669757385e-07	5.16679600570381e-07
ALDH1L1	1.23398285714286	8.82783695652174	16.7822200359353	2.37594129303051e-07	5.25069899012268e-07
TRIM47	1.38284142857143	7.64925	16.705208294778	2.50306580555553e-07	5.50124352869347e-07
IFI30	2.03211285714286	5.7689152173913	16.3984549978462	3.08447861011434e-07	6.70538828285727e-07
FCER1G	2.68671142857143	6.82658695652174	16.3466747274612	3.19580366941248e-07	6.92857164100267e-07
AIF1	1.41253	7.98315869565217	16.3339602097469	3.22377676625801e-07	6.97032814326057e-07
S100A10	1.41549428571428	7.89512608695652	16.3194346165378	3.25604811280314e-07	7.02112800604451e-07
SYK	1.52635714285714	5.23703260869565	16.3060075690366	3.28617944700128e-07	7.06705257419631e-07
SLFN11	1.18355285714286	6.24499347826087	16.1901205628917	3.55868394203738e-07	7.57166796178166e-07
CD74	1.90250142857143	9.46875217391304	16.1547187876052	3.64656533252983e-07	7.73806967115083e-07
PAK1	-1.14668571428571	11.6160217391304	16.1490221136332	3.6609174569714e-07	7.74241638049888e-07
GPR34	1.28815285714286	6.99974130434783	16.0615541206309	3.88885806785083e-07	8.16558124483113e-07
BLNK	1.00297142857143	5.05367391304348	15.8166720197483	4.60950106628568e-07	9.57818403384037e-07
ITGAX	2.15771571428572	6.93385	15.6165066616342	5.30194924309127e-07	1.0903751656743e-06
CP	2.28585	7.09785434782609	15.5063638516247	5.72860444748728e-07	1.16910294846679e-06
CLDN5	1.09590142857143	8.43925434782609	15.4705426592694	5.87498196074861e-07	1.19288973822307e-06
PTPN6	1.45238714285714	5.8892847826087	15.446757729842	5.97433229033597e-07	1.20693581622949e-06
RAC2	1.50325	4.8665	15.361812531414	6.34373638711853e-07	1.27512289188312e-06
CASP8	1.34250428571429	5.10708695652174	15.3093870451009	6.58357580767257e-07	1.31343158257807e-06
KAT2A	1.05761	9.51409347826087	15.0262948822193	8.05319917422609e-07	1.59469290578735e-06
DDB2	1.14985142857143	7.83608913043478	14.746282201454	9.84752376998036e-07	1.93563120785855e-06
MVP	1.55128857142857	8.17513043478261	14.6206296619445	1.07842986383071e-06	2.09913355490163e-06
NFKBIA	1.12333571428572	9.82654347826087	14.6019945716023	1.09309733991107e-06	2.12251910662345e-06
CD40	1.09941857142857	6.31052826086956	14.3594658326035	1.30421172884508e-06	2.50523463726827e-06
LRRC25	1.80320428571429	5.1824652173913	14.3349725362293	1.32778476455367e-06	2.53514990845569e-06
CD14	2.24045714285714	7.69793913043478	14.231047657347	1.43287269725356e-06	2.71634634550439e-06
CASP1	1.08406428571429	5.3100847826087	14.0823279731648	1.59862911463029e-06	3.00918421577465e-06
FEN1	-1.20760571428571	7.31840652173913	13.9442260804373	1.77054990634335e-06	3.31718952008122e-06
PLXNB3	1.20258428571428	8.20435869565217	13.8809296791148	1.85570736184597e-06	3.46861189130088e-06
CNN2	1.24257285714286	5.86911086956522	13.7029272918616	2.11893866871711e-06	3.94221147668299e-06
CSF3R	1.67741142857143	6.03538043478261	13.5642897446014	2.3508809181769e-06	4.35871125479371e-06
HPRT1	-1.64010714285714	10.5404956521739	13.5626917656971	2.3537040775886e-06	4.35871125479371e-06
ATP5J2	-1.31132714285714	10.1105043478261	13.5377184268145	2.39828826970648e-06	4.43101758837226e-06
LDHA	-1.17875714285714	11.2734086956522	13.4636910489136	2.53571137613174e-06	4.67412235231658e-06
PIK3R5	2.08960571428571	5.31281956521739	13.2331864114066	3.01887679158057e-06	5.51393021293254e-06
ATP6V1A	-1.20011428571429	11.3062065217391	12.969935666108	3.69059194101152e-06	6.66472585284248e-06
HDAC2	-1.10119714285714	8.98167391304348	12.7865787786448	4.24955090750777e-06	7.58848376340674e-06
TPD52	-1.58622571428571	9.51144782608696	12.7771448881544	4.28060282417665e-06	7.62690926356641e-06
CSF1R	1.07601428571428	5.13179130434783	12.6966140959117	4.55552807677833e-06	8.09871658093926e-06
GRAP	1.12220714285714	5.25682173913043	12.5197881253963	5.22599220888423e-06	9.18855772990634e-06
DAB2	1.23166428571429	7.98920217391304	12.3473933797679	5.9795106240613e-06	1.04674146591883e-05
IRF7	1.83474857142857	6.09628913043478	11.7780892983551	9.38484632957847e-06	1.57664144291353e-05
IRF1	1.35097285714286	6.04145652173913	11.7024697134813	9.97089011701525e-06	1.66528436192321e-05
TIMP1	1.53947571428571	8.1463	11.6080534796919	1.07567608758229e-05	1.78906625793312e-05
TREM2	1.59259142857143	5.00610434782609	11.083313013967	1.6477371853218e-05	2.69568455676368e-05
NTHL1	-1.30805285714286	5.98693260869565	10.8323109080556	2.02655189258034e-05	3.28186541308557e-05
PRKACB	-1.0185	11.3091652173913	10.6737625323679	2.31185513311495e-05	3.72879860179831e-05
