logFC	AveExpr	t	P.Value	adj.P.Val	B
HILPDA	3.1471280952381	7.77868695652174	7.04243063434978	1.12375711473595e-08	1.93377916057775e-07	9.78503586974548
EMP1	4.52057928571429	7.50747608695652	7.03915086874146	1.13609525683943e-08	1.93377916057775e-07	9.77438643174063
FCGR1A	3.98805833333333	6.99636086956522	7.02617107446808	1.18627356041234e-08	1.95625440806467e-07	9.73223591341563
C1QC	4.1158130952381	7.16013043478261	7.02316571610387	1.19820582493961e-08	1.95625440806467e-07	9.72247520569655
TNFRSF1B	3.24235452380953	6.03317608695652	7.00895628372377	1.25627524630625e-08	2.01004039409001e-07	9.67632062414775
CCL2	3.54919690476191	5.57789130434783	6.95846817477874	1.4864421056592e-08	2.33167389123012e-07	9.5122539565753
LTC4S	2.79018380952381	7.55193913043478	6.93640819660249	1.59988209670272e-08	2.4201392516314e-07	9.44053335526752
NEFL	-4.5348319047619	10.6047869565217	-6.93576026876332	1.6033422542058e-08	2.4201392516314e-07	9.43842653221064
SRGN	3.17357452380953	8.59046956521739	6.88586116688518	1.89368932449415e-08	2.80546566591725e-07	9.27612295641692
BNIP3	-1.23922261904762	11.0885891304348	-6.84779162793685	2.15023442701117e-08	3.12761371201625e-07	9.15223345418429
ATG5	-1.25739476190476	8.43431304347826	-6.83860772208947	2.2171778239688e-08	3.167396891384e-07	9.12233860029121
INPP5D	2.47249428571428	6.57570217391304	6.80245043897352	2.50169641990244e-08	3.51115287003852e-07	9.00461415760882
BIN1	1.19670714285714	10.7112934782609	6.72573546099891	3.23259819549958e-08	4.45875613172355e-07	8.7547043948213
CD84	3.26100071428571	6.19900652173913	6.71796609153827	3.31764737902157e-08	4.4810007750956e-07	8.72938539061153
ITGAM	2.59896452380952	5.49289130434783	6.70983670352546	3.40904106421613e-08	4.4810007750956e-07	8.70289148102668
CP	4.59873333333334	7.09785434782609	6.70915987899459	3.4167630910104e-08	4.4810007750956e-07	8.70068561464365
KMT2C	1.07815666666667	10.443652173913	6.66954112083081	3.90072224801314e-08	5.03318999743631e-07	8.571543154211
CD44	5.18605619047619	8.06651739130435	6.62251392899393	4.56518003849016e-08	5.7064750481127e-07	8.4182069139129
IFITM2	3.04799119047619	8.58914565217391	6.60811087764643	4.79054741143716e-08	5.87210554116494e-07	8.37123584555641
IQSEC1	-1.12296142857142	10.5036065217391	-6.60476439820408	4.84448707146108e-08	5.87210554116494e-07	8.36032181090277
TGM2	3.02750166666667	7.68207826086957	6.59563975745417	4.99467353920918e-08	5.96378930054828e-07	8.33056219663708
TLR9	2.90081619047619	5.96090869565217	6.56183537540997	5.5928935948706e-08	6.57987481749482e-07	8.22029900349407
IFI30	3.80581785714285	5.7689152173913	6.53036547400402	6.21416345041635e-08	7.15460600408053e-07	8.11763584451555
NPTX1	-2.32515	11.3499804347826	-6.52815669409986	6.26028025357046e-08	7.15460600408053e-07	8.11042975628189
NRP2	1.76759404761905	7.04055	6.51825068786313	6.47135941491048e-08	7.22888011306643e-07	8.07811098490841
NQO1	2.68439880952381	8.22292826086957	6.51665633210537	6.50599210175979e-08	7.22888011306643e-07	8.07290923038737
C1QB	4.36427047619048	7.93714130434783	6.5109549912519	6.6313628351334e-08	7.26724694261195e-07	8.05430778393411
RAD50	-1.19545261904762	8.09806086956522	-6.50246513976183	6.82255059479602e-08	7.30539011269251e-07	8.02660781303082
LTBR	2.58482071428572	5.65746739130435	6.49948783247045	6.8908976986964e-08	7.30539011269251e-07	8.0168935419902
PECAM1	2.15759738095239	8.54569565217391	6.49736186806907	6.94012060705788e-08	7.30539011269251e-07	8.00995695741434
APP	-1.56896190476191	13.1349565217391	-6.48968720617377	7.12076206463376e-08	7.39819435286624e-07	7.9849157790452
XIAP	-1.3596480952381	9.48030652173913	-6.47910815507051	7.37750947004887e-08	7.5666763795373e-07	7.95039724143954
PLXNB3	2.36711261904762	8.20435869565217	6.44731300375235	8.20631856953697e-08	8.31019601978427e-07	7.84664765622849
