CJD.CB_vs_CJD.FC	AveExpr	F	P.Value	adj.P.Val
ITGB5	1.07280476190476	8.70209565217391	10.2816428198278	3.21298846067979e-05	5.11012081221437e-05
LGALS3	1.10100119047619	9.65895434782609	10.2498811233267	3.30051109467313e-05	5.22853242720496e-05
ENTPD2	1.35303571428571	5.38844347826087	10.244244720235	3.31630128318304e-05	5.24316408408385e-05
COTL1	1.04500952380952	8.80876304347826	10.1714240188072	3.52755473581922e-05	5.54429035099288e-05
PLA2G5	1.59777261904762	5.66919565217391	10.1515643017665	3.58757509083964e-05	5.62023009234892e-05
LIG1	-1.04489642857143	5.36591739130435	9.69605211532477	5.30154001811286e-05	8.09395422612651e-05
C3	1.42242499999999	7.55189782608696	8.92266342246586	0.000104547053864139	0.0001554603031437
CCL4	1.29682261904762	5.06497391304348	8.49226693442385	0.000153945184972307	0.000225974583445589
SIGLEC8	1.04021547619048	5.03701739130435	8.0031480951267	0.000240932673827503	0.000350447525567278
IRF8	1.15037976190476	5.90658043478261	7.86708227223377	0.000273336329286948	0.000394709500775377
SLC2A1	1.03242976190476	7.0964	7.54286836634039	0.000370259183352051	0.000530837538855987
MYCT1	1.00550833333333	5.42139782608696	7.3477837560247	0.00044531015944519	0.000633893465402406
CCL3	1.13430714285714	5.02533043478261	5.55585642945913	0.002606163073431	0.0034575961173214
CX3CR1	1.48330952380952	6.90127391304348	5.24866729682336	0.00357590669702777	0.0046515859473532
UNG	1.13221547619047	6.07169565217391	4.73130088960917	0.00614817937277359	0.0078696695971502
FCGR3A	1.09483571428571	5.83730217391304	4.35558615551408	0.00917917737153346	0.0115643179483886
