"ID_REF"	"GSM4869092"	"GSM4869093"	"GSM4869094"	"GSM4869095"	"GSM4869096"	"GSM4869097"	"GSM4869098"	"GSM4869099"	"GSM4869100"	"GSM4869101"	"GSM4869102"	"GSM4869103"	"GSM4869104"	"GSM4869105"	"GSM4869106"	"GSM4869107"	"GSM4869108"	"GSM4869109"	"GSM4869110"	"GSM4869111"	"GSM4869112"	"GSM4869113"	"GSM4869114"	"GSM4869115"	"GSM4869116"	"GSM4869117"	"GSM4869118"	"GSM4869119"	"GSM4869120"	"GSM4869121"	"GSM4869122"	"GSM4869123"	"GSM4869124"	"GSM4869125"	"GSM4869126"	"GSM4869127"	"GSM4869128"	"GSM4869129"	"GSM4869130"	"GSM4869131"	"GSM4869132"	"GSM4869133"	"GSM4869134"	"GSM4869135"	"GSM4869136"	"GSM4869137"	"GSM4869138"
"JAM2"	9.2785	8.983	9.2192	8.5469	9.4009	7.098	9.3641	7.4838	8.4388	9.207	9.3332	8.0661	7.7879	9.817	9.6546	8.5962	8.2761	9.4263	9.0661	8.2668	7.6582	9.8887	9.1699	7.5699	8.5275	9.4009	9.1241	8.7074	7.7279	9.2143	9.6475	7.6582	7.96	9.9915	9.8673	7.8765	8.3129	8.7279	9.4051	8.4635	10.339	9.4305	9.4157	8	8.5699	9.058	9.5353
"JARID2"	6.8948	8.4798	7.2192	7.7482	7.1898	8.543	7.5546	8.3264	8.7313	7.6073	6.8329	7.7279	8.611	7.7142	6.4919	7.5925	8.2479	7.2288	6.6582	7.9484	8.1948	7.5314	6.7814	8.1649	8.2574	7.2668	6.6582	7.6147	8.0768	7.4594	7.6147	8.585	8.4388	7.6511	7.7879	7.9715	8.3443	6.9189	7.2668	7.8392	7.6724	8.0389	7.0224	8	8.4471	7.0112	7.098
"JUN"	8.0607	8.69	9.2336	10.133	8.5699	8.9009	8.8978	8.7415	8.5546	7.7814	9.2095	9.5962	8.5392	9.2143	9.1799	9.255	9.4409	8.5275	8.633	9.2192	8.7415	9.4367	8.676	9.2992	9.4115	8.6257	9.0444	9.4959	9.3923	8.5196	9.5177	9.4676	8.8642	8.9744	8.4136	8.7177	9.733	9.0928	8.4009	8.6546	9.9009	9.7465	8.5736	9.6777	9.4898	8.6036	8.8918
"KAT2A"	8.8734	9.0334	9.4939	8.8918	10.736	9.3151	9.9972	9.7993	9.568	10.593	8.8796	8.5118	9.8186	11.221	8.7715	8.7347	8.6935	9.3987	8.8234	8.2808	9.4221	10.128	8.8074	8.8734	9.3038	9.7499	8.9189	8.5236	9.7448	10.679	11.564	10.371	9.9218	10.269	10.431	8.8611	9.403	9.875	9.7944	8.9396	10.629	10.986	9.2312	8.5157	9.3399	9.2046	9.3554
"KAT2B"	9.1267	9.6294	8.9159	9.7482	10.458	9.69	9.7863	10.364	10.013	9.5392	9.3443	9.6724	9.8564	10.728	9.2527	10.127	9.6147	9.7944	8.611	9.4615	9.9571	10.891	9.1624	9.3487	9.676	9.796	9.2119	10.04	9.9174	10.017	10.838	9.7347	9.9873	10.482	10.386	9.6348	10.035	9.5236	9.7381	9.8502	10.254	10.711	9.2167	9.3399	9.7074	9.6812	9.2992
"KCND1"	5.4919	6.375	5.8826	6.2668	4.3219	7.7748	5.6439	6.8455	6.3219	5.9542	4.9542	6.0661	7.0875	4.3219	5.5236	6.4263	5.7549	5.9069	5.6724	6.5078	6.0875	6.0444	4.3219	6.0661	6.1898	5.2095	5.3923	6.3923	7	6.2095	7	8.0498	7.3837	5.9307	6.4757	6.0224	6.2479	5.3219	5.0875	6.7415	4.3219	6.8704	5.3923	6.3219	7.4919	5.6439	5.1699
"KCNJ10"	7.4263	6.6865	7.7682	6.7415	8.9337	5.585	8.4051	6.0444	6.5546	7.6073	7.9425	6.7279	6.2668	10.04	7.858	7.1293	6.0661	8.0444	7.2384	6.1699	5.7279	9.6018	7.6073	5.6724	6.2479	8.5622	8.0112	7.5546	5.8074	7.9129	9.733	5.9069	6.5546	9.8796	9.4409	5.6439	6.3576	7.8455	8.4305	6.4263	9.2021	9.5058	7.7074	5.9069	6.1699	7.1396	7.7682
"KCNK13"	4.7549	4.3219	4.9542	4.3219	4.3219	4.3219	5.5236	4.3219	4.9542	5.9069	5.9773	4.3219	4.9542	7.2854	5.0875	4.3219	4.3219	5.2095	5	4.3219	4.3219	6.4429	4.8074	4.3219	4.7004	5.4263	4.8074	4.3219	4.3219	4.3219	6.9425	4.3219	4.3219	5.4263	4.3219	4.3219	5.0444	5.7549	5.4919	4.3219	6.3923	6.8074	4.4594	4.3219	4.3219	5.2479	4.3219
"KDM1A"	8.9513	8.5699	8.8329	9.2384	7.9887	8.7142	8.2854	8.6689	8.3531	7.8642	9.2095	9.1319	8.1497	7.5622	9.1548	9.1749	8.9858	8.5699	9.3061	9.1215	8.8424	8.4998	9.0279	9.1319	8.8424	8.7715	9.224	8.9801	8.7448	8.0498	8.3399	8.1137	8.7977	8.5314	8.5078	9.0661	8.7177	8.5736	8.7448	8.8826	8.1749	8.1344	9.3902	9.3576	9	8.9484	9.1007
"KDM1B"	7.3038	7.375	7.3923	7.2479	7.7814	7.2946	7.6795	7.0444	7.585	7.8642	7.3576	7.0224	7.4009	7.2854	7.2668	6.9773	7.0875	7.5078	7.0444	6.9425	7.1898	7.9069	6.9069	6.8826	6.9773	7.7142	7.2192	7.0112	7.3038	7.8642	8	7.4512	7.3129	7.8202	7.2761	7.098	7.4009	7.5699	7.7482	7.1396	7.9484	8.0607	7.2854	6.7682	7.2288	7.2095	7.2384
"KDM2A"	9.2095	9.6724	9.1007	9.4858	9.6883	10.236	9.4838	9.8948	10.04	9.4346	9.2167	9.4325	10.37	10.069	9.137	9.5333	9.6777	9.1997	9.2336	9.4491	10.077	9.4491	9.1624	9.7194	9.9972	9.4919	9.3129	9.3332	10.022	9.4346	10.033	10.86	10.223	9.6707	9.42	9.5372	10.224	9.6689	9.3487	9.6511	9.7194	9.9454	9.3902	9.5868	9.8408	8.983	9.0279
"KDM2B"	8.7912	9.2192	8.9715	9.3287	8.9744	9.6493	8.8978	9.1007	9.4696	9.0661	8.9009	9.4635	9.6165	9.3509	8.9484	9.4919	9.2216	8.7108	8.8329	9.5157	9.2095	8.7814	8.8918	9.1241	9.0389	8.6795	8.9454	9.2408	9.4094	8.817	9.375	9.7482	9.3902	8.7039	8.7482	9.2046	9.3923	8.697	8.9159	9.1874	9.2095	9.3707	8.7814	9.1674	9.1447	8.2761	8.543
"KDM3A"	8.8765	9.1799	9.0821	8.9484	9.224	9.1319	9.1898	8.9159	9.633	9.3151	9.2808	8.6795	9.5793	9.2143	8.8329	8.8329	8.9513	8.9337	8.8918	8.5157	9.4305	9.8533	9.1447	8.5275	8.9715	9.0553	9.3197	9.0362	9.4115	9.6312	9.9204	9.6402	9.1724	9.7022	9.5078	8.8796	9.3061	9.3399	9.2479	8.8918	9.2691	9.3597	9.0848	8.8074	9.0251	9.1724	9.0607
"KDM3B"	8.7448	9.0444	9.014	9.0715	9.3707	8.8265	9.4136	9.2715	9.1137	9.0498	9.0224	9.1497	9.1241	9.6618	9.0168	9.1137	9.0334	8.9972	8.8424	9.0688	9.0307	9.6653	8.9944	9.0954	9.0112	9.0028	9.0362	8.9801	8.8796	8.9658	9.5755	8.9571	9.0795	9.5255	9.6511	9.2046	8.7279	8.7381	9.3242	9.0848	9.3015	9.4491	8.8887	9.1724	9.1699	8.8106	9.014
"KDM4A"	8.3264	8.6036	8.1241	8.4717	7.9129	8.7108	8.388	8.2715	8.2095	7.96	8.5157	8.7039	8.8517	8.5812	8.4429	8.6073	8.5392	8.3309	8.4878	8.6689	8.1997	8.5236	8.633	8.4471	8.5038	8.3576	8.6257	8.5962	8.4263	8.1396	9.1189	8.5962	8.4878	8.6402	8.3837	8.3707	8.4346	8.3837	8.2761	8.5157	8.5196	8.6546	8.3174	8.4676	8.2479	7.9248	8.1997
